TICKER,NAME,LEI,CIK,LATEST_FILING_DATE
00003,Hong Kong and China Gas Co Ltd,,0000810039,
000030,Woori Bank,,0001264136,
000054140,ArcelorMittal SA,2EULGUTUI56JI9SAL165,0001243429,
000170085,Aperam SA,,0001502636,
00142,First Pacific Co Ltd,,0000800344,
00267,CITIC PACIFIC LTD /FI,,0001162704,
00322,Tingyi (Cayman Islands) Holding Corp.,,0001337154,
003870570,MILLICOM INTERNATIONAL CELLULAR SA,,0000912958,
00410,SOHO CHINA LTD,,0001198537,
00525,Guangshen Railway Co Ltd,,0001012139,
005380,HYUNDAI MOTOR CO,,0000904155,
005490,Posco,,0000889132,
005930,SAMSUNG ELECTRONICS CO LTD /FI,,0000879316,
00728,China Telecom Corp Ltd,,0001191255,
00762,China Unicom Hong Kong Ltd,,0001113866,
00836,China Resources Power Holdings Co. Ltd. / ADR,,0001454472,
00883,CNOOC Ltd,,0001095595,
00902,Huaneng Power International Inc,,0000929058,
00939,China Construction Bank Corp,,0001445474,
00941,China Mobile Ltd,,0001117795,
00981,Semiconductor Manufacturing International Corp,,0001267482,
01055,China Southern Airlines Co Ltd,,0001041668,
01081868,Ituran Location and Control Ltd,,0001337117,
01082692,Silicom Ltd,,0000916793,
01171,Yanzhou Coal Mining Co Ltd,,0001048098,
012972,CROWN CORK & SEAL CO INC,,0000025890,
015760,Korea Electric Power Corp,,0000887225,
017670,SK Telecom Co Ltd,,0001015650,
030200,KT Corp,,0000892450,
033780,KT&G,,0001316426,
03383,Agile Group Holdings Limited/ADR,,0001449264,
034220,LG Display Co Ltd,,0001290109,
03S,SeaCube Container Leasing Ltd.,,0001487999,2013-02-21
055550,Shinhan Financial Group Co Ltd,,0001263043,
0769929D,XSTREAM SYSTEMS INC,,0001323163,
0891179D,STERLING BANCORP,,0000093451,2013-08-02
094A,National Graphite Corp,,0001409432,2016-11-18
0JRU,Axovant Sciences Ltd,,0001636050,2018-08-07
0R0R,Michael Kors Holdings Ltd,,0001530721,2018-08-08
0R5P,Mylan NV,549300A0CD4KNFGIIS89,0001623613,2018-08-08
0ROE,LivaNova PLC,81560010B12D0F732924,0001639691,2018-08-02
0RPW,Janus Henderson Group PLC,,0001274173,2018-07-31
0U3Q,InterDigital Inc,,0000354913,2007-05-10
0U9H,GasLog Ltd,,0001534126,
0XHI,Ensco PLC,7N0UJMJLXD0MDT5D5086,0000314808,2018-07-26
0XHL,Aon PLC,VVT2B79I2Z4U3R6BY589,0000315293,2018-07-27
0XHS,Liberty Global PLC,549300BSGXG3QLIQYT84,0001570585,2018-08-08
0XI6,STERIS plc,,0001624899,2018-08-08
0Y4Q,Willis Towers Watson PLC,,0001140536,2018-08-06
0Y5X,Pentair plc,5493006P2JR3BN5MZF46,0000077360,2018-07-25
0YCP,Aptiv PLC,,0001521332,2018-07-31
0Z1Q,Manchester United PLC,,0001549107,
104372,MELLON CAPITAL III,,0001026184,
105560,KB Financial Group Inc,,0001445930,
1102,ASIA CEMENT CORP                                        /FI,,0000899136,
1257401D,Banco Santander SA,5493006QMFDDMYWIAM13,0000891478,
140398Q,INSIGHT HEALTH SERVICES CORP,,0001012697,
144ASERA,HBOS PLC,,0001286019,
1605,Walsin Lihwa Corp,,0001467031,
1696Q,USA NET INC,,0001039052,
196774Q,AMBANC HOLDING CO INC,,0001000301,
1CS,Cohen & Steers Infrastructure Fund,,0001275617,
1D8,Double Eagle Acquisition Corp,,,
1FS,Freescale Semiconductor Ltd ,,0001392522,2015-10-23
1JF,PIMCO Dynamic Credit and Mortgage Income Fund,,0001558629,
1KF,PIMCO Dynamic Income Fund,,0001510599,
1YD,Broadcom Inc,,0001730168,2018-06-14
20A,Arris International PLC,,0001141107,2015-11-06
21580,FRONTEO Inc,,0001550935,
2274054Z,"Green Power Enterprises, Inc.",,0001408358,
2301,LITE-ON SEMICONDUCTOR Corp,,0000905994,
2303,United Microelectronics Corp,,0001033767,
2308,DELTA ELECTRONICS INC,,0001134780,
2317,"Hon Hai Precision Ind. Co., Ltd.",,0001611906,
2330,Taiwan Semiconductor Manufacturing Co Ltd,,0001046179,
2347,Synnex Technology International CORP,,0001344701,
2352,Qisda Corp.,,0001218183,
2353,ACER INC,,0001093632,
2357,Asustek Computer Inc.,,0001478813,
2382,Sorrento Therapeutics Inc,,0001427401,
2409,AU Optronics Corp,,0001172494,
2412,Chunghwa Telecom Co Ltd,,0001132924,
2603,Evans Bancorp Inc,,0001024897,
27S,Albertsons Companies Inc,,0001646972,2018-07-25
2881,FUBON FINANCIAL HOLDING CO LTD/FI,,0001070930,
31IS,Spi Energy Co Ltd,,0001045513,
34V,Vision-Ease Lens CORP,,0001375098,
37740,Internet Initiative Japan Inc,,0001090633,
39380,Line Corp,,0001611820,
